"lon","lat","year","country","rectangle","species","landings"
-1.5,44.25,2014,"BEL","17E8","ANF",5.6
-1.5,44.25,2014,"BEL","17E8","BIB",0.013
-1.5,44.25,2014,"BEL","17E8","BLL",0.027
-1.5,44.25,2014,"BEL","17E8","BRB",0.005
-1.5,44.25,2014,"BEL","17E8","BSS",0.001
-1.5,44.25,2014,"BEL","17E8","COD",0.002
-1.5,44.25,2014,"BEL","17E8","COE",0.041
-1.5,44.25,2014,"BEL","17E8","CRE",0.138
-1.5,44.25,2014,"BEL","17E8","CTC",0.01
-1.5,44.25,2014,"BEL","17E8","GUG",0.086
-1.5,44.25,2014,"BEL","17E8","GUR",0.029
-1.5,44.25,2014,"BEL","17E8","GUU",0.311
-1.5,44.25,2014,"BEL","17E8","HKE",0.127
-1.5,44.25,2014,"BEL","17E8","JOD",0.027
-1.5,44.25,2014,"BEL","17E8","LEM",0
-1.5,44.25,2014,"BEL","17E8","LEZ",0.103
-1.5,44.25,2014,"BEL","17E8","LIN",0
-1.5,44.25,2014,"BEL","17E8","MUR",0.049
-1.5,44.25,2014,"BEL","17E8","NEP",0.002
-1.5,44.25,2014,"BEL","17E8","OCZ",0.479
-1.5,44.25,2014,"BEL","17E8","PLE",0.02
-1.5,44.25,2014,"BEL","17E8","RJC",0.002
-1.5,44.25,2014,"BEL","17E8","RJN",0.008
-1.5,44.25,2014,"BEL","17E8","SCE",0.032
-1.5,44.25,2014,"BEL","17E8","SOL",3.564
-1.5,44.25,2014,"BEL","17E8","SOS",0.008
-1.5,44.25,2014,"BEL","17E8","SQC",0.016
-1.5,44.25,2014,"BEL","17E8","TUR",0.044
-1.5,44.25,2014,"BEL","17E8","WEG",0.064
-1.5,44.25,2014,"BEL","17E8","WHG",0.036
-1.5,44.25,2014,"BEL","17E8","DPX",0.002
-1.5,44.25,2014,"BEL","17E8","SCL",0.497
-2.5,44.75,2014,"BEL","18E7","ANF",14.359
-2.5,44.75,2014,"BEL","18E7","BIB",0.139
-2.5,44.75,2014,"BEL","18E7","BLL",0.016
-2.5,44.75,2014,"BEL","18E7","BRB",0
-2.5,44.75,2014,"BEL","18E7","COE",0.046
-2.5,44.75,2014,"BEL","18E7","CRE",1.136
-2.5,44.75,2014,"BEL","18E7","GUG",0.523
-2.5,44.75,2014,"BEL","18E7","GUR",0.021
-2.5,44.75,2014,"BEL","18E7","GUU",0.806
-2.5,44.75,2014,"BEL","18E7","HKE",0.184
-2.5,44.75,2014,"BEL","18E7","JOD",0.04
-2.5,44.75,2014,"BEL","18E7","LEM",0.002
-2.5,44.75,2014,"BEL","18E7","LEZ",0.744
-2.5,44.75,2014,"BEL","18E7","LIN",0.004
-2.5,44.75,2014,"BEL","18E7","MUR",0.089
-2.5,44.75,2014,"BEL","18E7","OCZ",1.282
-2.5,44.75,2014,"BEL","18E7","PLE",0.03
-2.5,44.75,2014,"BEL","18E7","RJC",0.106
-2.5,44.75,2014,"BEL","18E7","RJN",0.198
-2.5,44.75,2014,"BEL","18E7","SCE",0.09
-2.5,44.75,2014,"BEL","18E7","SOL",8.744
-2.5,44.75,2014,"BEL","18E7","SQC",0.006
-2.5,44.75,2014,"BEL","18E7","TUR",0.07
-2.5,44.75,2014,"BEL","18E7","WEG",0.073
-2.5,44.75,2014,"BEL","18E7","WHG",0.019
-2.5,44.75,2014,"BEL","18E7","DPX",0.011
-2.5,44.75,2014,"BEL","18E7","SCL",1.18
-1.5,44.75,2014,"BEL","18E8","ANF",53.628
-1.5,44.75,2014,"BEL","18E8","BIB",0.614
-1.5,44.75,2014,"BEL","18E8","BLL",0.138
-1.5,44.75,2014,"BEL","18E8","BRB",0.053
-1.5,44.75,2014,"BEL","18E8","BSS",0.001
-1.5,44.75,2014,"BEL","18E8","COE",0.214
-1.5,44.75,2014,"BEL","18E8","CRE",2.207
-1.5,44.75,2014,"BEL","18E8","CTC",0.12
-1.5,44.75,2014,"BEL","18E8","GUG",1.816
-1.5,44.75,2014,"BEL","18E8","GUR",0.168
-1.5,44.75,2014,"BEL","18E8","GUU",2.994
-1.5,44.75,2014,"BEL","18E8","HKE",1.015
-1.5,44.75,2014,"BEL","18E8","JOD",0.169
-1.5,44.75,2014,"BEL","18E8","LEM",0.001
-1.5,44.75,2014,"BEL","18E8","LEZ",1.856
-1.5,44.75,2014,"BEL","18E8","LIN",0.019
