FU,2016,2017,2018,source
11,0,0,0,wg/adg
12,59.353,66.084,34.037,wg/adg
13,3.856,0.841,0,wg/adg
14,21.35,6.939,4.815,wg/adg
15,1609.201918,1253.304842,1387.078535,wg/adg
16,1900.966512,2116.344917,2079.144,wg/adg
17,641.2491244,294.5321509,494.1051,wg/adg
19,582.7366174,412.3120328,209.8798759,wg/adg
22,2952.416671,2814.995767,1638.802,wg/adg
2021,1531.181158,1112.8168,1196.672,wg/adg
NotFU,86.449,78.13225,143.7427842,wg/adg
