"stock","assess_area","tac_area"
"LeucojaCircularis67","VI,VIIac,VIIek","VIa_Eu,VIb_Eu,VIIa_Eu,VIIb_Eu,VIIc_Eu,VIIe,VIIf_Eu,VIIg_Eu,"
"LeucojaCircularis67","VI,VIIac,VIIek","VIIh_Eu,VIIj_Eu,VIIk_Eu"
"LeucojaFullonica67","VI,VIIac,VIIek","VIa_Eu,VIb_Eu,VIIa_Eu,VIIb_Eu,VIIc_Eu,VIIe,VIIf_Eu,VIIg_Eu,"
"LeucojaFullonica67","VI,VIIac,VIIek","VIIh_Eu,VIIj_Eu,VIIk_Eu"
"RajaMicroocellata7fg","VIIf,VIIg","VIa_Eu,VIb_Eu,VIIa_Eu,VIIb_Eu,VIIc_Eu,VIIe,VIIf_Eu,VIIg_Eu,"
"RajaMicroocellata7fg","VIIf,VIIg","VIIh_Eu,VIIj_Eu,VIIk_Eu"
"RajaMonagui7","VIIa,VIIe,VIIf,VIIg,VIIh","VIa_Eu,VIb_Eu,VIIa_Eu,VIIb_Eu,VIIc_Eu,VIIe,VIIf_Eu,VIIg_Eu,"
"RajaMonagui7","VIIa,VIIe,VIIf,VIIg,VIIh","VIIh_Eu,VIIj_Eu,VIIk_Eu"
"RajaMonagui67","VI,VIIb,VIIj","VIa_Eu,VIb_Eu,VIIa_Eu,VIIb_Eu,VIIc_Eu,VIIe,VIIf_Eu,VIIg_Eu,"
"RajaMonagui67","VI,VIIb,VIIj","VIIh_Eu,VIIj_Eu,VIIk_Eu"
"RajaClevata7","VIIa,VIIf,VIIg","VIa_Eu,VIb_Eu,VIIa_Eu,VIIb_Eu,VIIc_Eu,VIIe,VIIf_Eu,VIIg_Eu,"
"RajaClevata7","VIIa,VIIf,VIIg","VIIh_Eu,VIIj_Eu,VIIk_Eu"
"RajaClevata6","VI","VIa_Eu,VIb_Eu,VIIa_Eu,VIIb_Eu,VIIc_Eu,VIIe,VIIf_Eu,VIIg_Eu,"
"RajaClevata6","VI","VIIh_Eu,VIIj_Eu,VIIk_Eu"
"RajaUndulata7bj","VIIb,VIIj","NA"
"DipturusBatis67","VI,VIIac,VIIek","NA"
"OtherSkates67","VI,VIIac,VIIek","VIa_Eu,VIb_Eu,VIIa_Eu,VIIb_Eu,VIIc_Eu,VIIe,VIIf_Eu,VIIg_Eu,"
"OtherSkates67","VI,VIIac,VIIek","VIIh_Eu,VIIj_Eu,VIIk_Eu"
