"lon","lat","year","country","rectangle","species","landings"
-2.5,44.75,2015,"BEL","18E7","ANF",1.4
-2.5,44.75,2015,"BEL","18E7","BIB",0.013
-2.5,44.75,2015,"BEL","18E7","BLL",0.003
-2.5,44.75,2015,"BEL","18E7","BSS",0
-2.5,44.75,2015,"BEL","18E7","COE",0.004
-2.5,44.75,2015,"BEL","18E7","CTC",0.015
-2.5,44.75,2015,"BEL","18E7","DAB",0.002
-2.5,44.75,2015,"BEL","18E7","GUG",0.068
-2.5,44.75,2015,"BEL","18E7","GUR",0.002
-2.5,44.75,2015,"BEL","18E7","GUU",0.176
-2.5,44.75,2015,"BEL","18E7","HAD",0
-2.5,44.75,2015,"BEL","18E7","HKE",0.107
-2.5,44.75,2015,"BEL","18E7","LEZ",0.065
-2.5,44.75,2015,"BEL","18E7","OCZ",0.043
-2.5,44.75,2015,"BEL","18E7","RJC",0.003
-2.5,44.75,2015,"BEL","18E7","RJN",0.075
-2.5,44.75,2015,"BEL","18E7","SOL",1.294
-2.5,44.75,2015,"BEL","18E7","SOS",0
-2.5,44.75,2015,"BEL","18E7","SQC",0.004
-2.5,44.75,2015,"BEL","18E7","WEG",0.022
-2.5,44.75,2015,"BEL","18E7","SCL",0.211
-1.5,44.75,2015,"BEL","18E8","ANF",12.572
-1.5,44.75,2015,"BEL","18E8","BIB",0.315
-1.5,44.75,2015,"BEL","18E8","BLL",0.068
-1.5,44.75,2015,"BEL","18E8","BRB",0.008
-1.5,44.75,2015,"BEL","18E8","BSS",0.001
-1.5,44.75,2015,"BEL","18E8","COE",0.037
-1.5,44.75,2015,"BEL","18E8","CRE",0.49
-1.5,44.75,2015,"BEL","18E8","CTC",0.24
-1.5,44.75,2015,"BEL","18E8","GUG",0.609
-1.5,44.75,2015,"BEL","18E8","GUR",0.046
-1.5,44.75,2015,"BEL","18E8","GUU",1.74
-1.5,44.75,2015,"BEL","18E8","HAD",0
-1.5,44.75,2015,"BEL","18E8","HKE",0.505
-1.5,44.75,2015,"BEL","18E8","JOD",0.058
-1.5,44.75,2015,"BEL","18E8","LEM",0.001
-1.5,44.75,2015,"BEL","18E8","LEZ",0.072
-1.5,44.75,2015,"BEL","18E8","LIN",0.005
-1.5,44.75,2015,"BEL","18E8","MUR",0.382
-1.5,44.75,2015,"BEL","18E8","NEP",0.007
-1.5,44.75,2015,"BEL","18E8","OCZ",0.655
-1.5,44.75,2015,"BEL","18E8","PLE",0.064
-1.5,44.75,2015,"BEL","18E8","POL",0.058
-1.5,44.75,2015,"BEL","18E8","RJC",0.018
-1.5,44.75,2015,"BEL","18E8","RJH",0.005
-1.5,44.75,2015,"BEL","18E8","RJI",0.001
-1.5,44.75,2015,"BEL","18E8","RJN",0.097
-1.5,44.75,2015,"BEL","18E8","SCE",0.123
-1.5,44.75,2015,"BEL","18E8","SOL",21.02
-1.5,44.75,2015,"BEL","18E8","SOS",0.006
-1.5,44.75,2015,"BEL","18E8","SQC",0.088
-1.5,44.75,2015,"BEL","18E8","TUR",0.102
-1.5,44.75,2015,"BEL","18E8","WEG",0.64
-1.5,44.75,2015,"BEL","18E8","WHG",0.098
-1.5,44.75,2015,"BEL","18E8","DPX",0
-1.5,44.75,2015,"BEL","18E8","SCL",2.891
-2.5,45.25,2015,"BEL","19E7","ANF",30.919
-2.5,45.25,2015,"BEL","19E7","BIB",0.995
-2.5,45.25,2015,"BEL","19E7","BLL",0.171
-2.5,45.25,2015,"BEL","19E7","BRB",0.022
-2.5,45.25,2015,"BEL","19E7","BSS",0.005
-2.5,45.25,2015,"BEL","19E7","COE",0.244
-2.5,45.25,2015,"BEL","19E7","CRE",2.525
-2.5,45.25,2015,"BEL","19E7","CTC",0.884
-2.5,45.25,2015,"BEL","19E7","DAB",0.002
-2.5,45.25,2015,"BEL","19E7","GUG",2.892
-2.5,45.25,2015,"BEL","19E7","GUR",0.13
-2.5,45.25,2015,"BEL","19E7","GUU",3.066
-2.5,45.25,2015,"BEL","19E7","HAD",0.002
-2.5,45.25,2015,"BEL","19E7","HKE",1.892
-2.5,45.25,2015,"BEL","19E7","JOD",0.099
-2.5,45.25,2015,"BEL","19E7","LEM",0.003
-2.5,45.25,2015,"BEL","19E7","LEZ",1.106
-2.5,45.25,2015,"BEL","19E7","LIN",0.029
-2.5,45.25,2015,"BEL","19E7","MUR",0.302
-2.5,45.25,2015,"BEL","19E7","NEP",0.007
-2.5,45.25,2015,"BEL","19E7","OCZ",0.973
-2.5,45.25,2015,"BEL","19E7","PLE",0.11
-2.5,45.25,2015,"BEL","19E7","POL",0.006
-2.5,45.25,2015,"BEL","19E7","RJC",0.368
-2.5,45.25,2015,"BEL","19E7","RJH",0.014
-2.5,45.25,2015,"BEL","19E7","RJI",0.001
-2.5,45.25,2015,"BEL","19E7","RJN",0.545
-2.5,45.25,2015,"BEL","19E7","SCE",0.363
-2.5,45.25,2015,"BEL","19E7","SOL",34.005
-2.5,45.25,2015,"BEL","19E7","SOS",0.012
-2.5,45.25,2015,"BEL","19E7","SQC",0.15
-2.5,45.25,2015,"BEL","19E7","TUR",0.288
-2.5,45.25,2015,"BEL","19E7","WEG",0.719
-2.5,45.25,2015,"BEL","19E7","WHG",0.155
-2.5,45.25,2015,"BEL","19E7","DPX",0.007
-2.5,45.25,2015,"BEL","19E7","SCL",5.732
-1.5,45.25,2015,"BEL","19E8","ANF",33.809
-1.5,45.25,2015,"BEL","19E8","BIB",1.03
-1.5,45.25,2015,"BEL","19E8","BLL",0.375
-1.5,45.25,2015,"BEL","19E8","BRB",0.021
-1.5,45.25,2015,"BEL","19E8","BSS",0.01
-1.5,45.25,2015,"BEL","19E8","COE",0.434
-1.5,45.25,2015,"BEL","19E8","CRE",1.674
-1.5,45.25,2015,"BEL","19E8","CTC",3.086
-1.5,45.25,2015,"BEL","19E8","DAB",0.005
-1.5,45.25,2015,"BEL","19E8","GUG",1.206
-1.5,45.25,2015,"BEL","19E8","GUR",0.097
-1.5,45.25,2015,"BEL","19E8","GUU",4.859
-1.5,45.25,2015,"BEL","19E8","HAD",0.002
-1.5,45.25,2015,"BEL","19E8","HKE",1.133
-1.5,45.25,2015,"BEL","19E8","JOD",0.245
-1.5,45.25,2015,"BEL","19E8","LEM",0
-1.5,45.25,2015,"BEL","19E8","LEZ",0.475
-1.5,45.25,2015,"BEL","19E8","LIN",0.018
-1.5,45.25,2015,"BEL","19E8","MUR",0.333
-1.5,45.25,2015,"BEL","19E8","NEP",0.004
-1.5,45.25,2015,"BEL","19E8","OCZ",1.173
-1.5,45.25,2015,"BEL","19E8","PLE",0.166
-1.5,45.25,2015,"BEL","19E8","POL",0.008
-1.5,45.25,2015,"BEL","19E8","RJC",0.192
-1.5,45.25,2015,"BEL","19E8","RJH",0.002
-1.5,45.25,2015,"BEL","19E8","RJI",0.005
-1.5,45.25,2015,"BEL","19E8","RJN",0.257
-1.5,45.25,2015,"BEL","19E8","SCE",0.393
-1.5,45.25,2015,"BEL","19E8","SOL",63.174
-1.5,45.25,2015,"BEL","19E8","SOS",0.039
-1.5,45.25,2015,"BEL","19E8","SQC",0.199
-1.5,45.25,2015,"BEL","19E8","TUR",0.373
-1.5,45.25,2015,"BEL","19E8","WEG",2.482
-1.5,45.25,2015,"BEL","19E8","WHE",0.002
-1.5,45.25,2015,"BEL","19E8","WHG",0.891
-1.5,45.25,2015,"BEL","19E8","DPX",0.003
-1.5,45.25,2015,"BEL","19E8","SCL",5.221
-2.5,45.75,2015,"BEL","20E7","ANF",50.891
-2.5,45.75,2015,"BEL","20E7","BIB",0.663
-2.5,45.75,2015,"BEL","20E7","BLL",0.175
-2.5,45.75,2015,"BEL","20E7","BRB",0.013
-2.5,45.75,2015,"BEL","20E7","BSS",0.009
-2.5,45.75,2015,"BEL","20E7","COD",0.002
-2.5,45.75,2015,"BEL","20E7","COE",0.215
-2.5,45.75,2015,"BEL","20E7","CRE",2.667
-2.5,45.75,2015,"BEL","20E7","CTC",1.174
-2.5,45.75,2015,"BEL","20E7","DAB",0.005
-2.5,45.75,2015,"BEL","20E7","GUG",7.991
-2.5,45.75,2015,"BEL","20E7","GUR",0.178
-2.5,45.75,2015,"BEL","20E7","GUU",3.832
-2.5,45.75,2015,"BEL","20E7","HAD",0.096
-2.5,45.75,2015,"BEL","20E7","HKE",1.541
-2.5,45.75,2015,"BEL","20E7","JOD",0.122
-2.5,45.75,2015,"BEL","20E7","LEM",0.001
-2.5,45.75,2015,"BEL","20E7","LEZ",2.135
-2.5,45.75,2015,"BEL","20E7","LIN",0.025
-2.5,45.75,2015,"BEL","20E7","MUR",0.538
-2.5,45.75,2015,"BEL","20E7","OCZ",1.636
-2.5,45.75,2015,"BEL","20E7","PLE",0.211
-2.5,45.75,2015,"BEL","20E7","POL",0.044
-2.5,45.75,2015,"BEL","20E7","RJC",0.29
-2.5,45.75,2015,"BEL","20E7","RJH",0.023
-2.5,45.75,2015,"BEL","20E7","RJI",0.001
-2.5,45.75,2015,"BEL","20E7","RJN",0.812
-2.5,45.75,2015,"BEL","20E7","SCE",0.238
-2.5,45.75,2015,"BEL","20E7","SOL",50.817
-2.5,45.75,2015,"BEL","20E7","SOS",0.081
-2.5,45.75,2015,"BEL","20E7","SQC",0.128
-2.5,45.75,2015,"BEL","20E7","TUR",0.469
-2.5,45.75,2015,"BEL","20E7","WEG",1.186
-2.5,45.75,2015,"BEL","20E7","WHE",0.001
-2.5,45.75,2015,"BEL","20E7","WHG",0.149
-2.5,45.75,2015,"BEL","20E7","WIT",0.002
-2.5,45.75,2015,"BEL","20E7","DPX",0.019
-2.5,45.75,2015,"BEL","20E7","SCL",6.142
-1.5,45.75,2015,"BEL","20E8","ANF",29.904
-1.5,45.75,2015,"BEL","20E8","BIB",0.582
-1.5,45.75,2015,"BEL","20E8","BLL",0.271
-1.5,45.75,2015,"BEL","20E8","BRB",0.019
-1.5,45.75,2015,"BEL","20E8","BSS",0.005
-1.5,45.75,2015,"BEL","20E8","COD",0
-1.5,45.75,2015,"BEL","20E8","COE",0.145
-1.5,45.75,2015,"BEL","20E8","CRE",1.721
-1.5,45.75,2015,"BEL","20E8","CTC",2.849
-1.5,45.75,2015,"BEL","20E8","DAB",0.001
-1.5,45.75,2015,"BEL","20E8","GUG",2.106
-1.5,45.75,2015,"BEL","20E8","GUR",0.079
-1.5,45.75,2015,"BEL","20E8","GUU",4.361
-1.5,45.75,2015,"BEL","20E8","HAD",0.002
-1.5,45.75,2015,"BEL","20E8","HKE",0.898
-1.5,45.75,2015,"BEL","20E8","JOD",0.109
-1.5,45.75,2015,"BEL","20E8","LEM",0.002
-1.5,45.75,2015,"BEL","20E8","LEZ",0.383
-1.5,45.75,2015,"BEL","20E8","LIN",0.021
-1.5,45.75,2015,"BEL","20E8","MUR",0.524
-1.5,45.75,2015,"BEL","20E8","NEP",0.022
-1.5,45.75,2015,"BEL","20E8","OCZ",0.974
-1.5,45.75,2015,"BEL","20E8","PLE",0.207
-1.5,45.75,2015,"BEL","20E8","POL",0.003
-1.5,45.75,2015,"BEL","20E8","RJC",0.123
-1.5,45.75,2015,"BEL","20E8","RJH",0.01
-1.5,45.75,2015,"BEL","20E8","RJI",0.073
-1.5,45.75,2015,"BEL","20E8","RJN",0.268
-1.5,45.75,2015,"BEL","20E8","SCE",0.432
-1.5,45.75,2015,"BEL","20E8","SKA",0.006
-1.5,45.75,2015,"BEL","20E8","SOL",51.934
-1.5,45.75,2015,"BEL","20E8","SOS",0.011
-1.5,45.75,2015,"BEL","20E8","SQC",0.136
-1.5,45.75,2015,"BEL","20E8","SYT",0
-1.5,45.75,2015,"BEL","20E8","TUR",0.584
-1.5,45.75,2015,"BEL","20E8","WEG",1.465
-1.5,45.75,2015,"BEL","20E8","WHG",0.21
-1.5,45.75,2015,"BEL","20E8","CRU",0
-1.5,45.75,2015,"BEL","20E8","DPX",0.008
-1.5,45.75,2015,"BEL","20E8","SCL",4.093
-3.5,46.25,2015,"BEL","21E6","ANF",0.566
-3.5,46.25,2015,"BEL","21E6","BIB",0.114
-3.5,46.25,2015,"BEL","21E6","BSS",0.009
-3.5,46.25,2015,"BEL","21E6","COD",0.001
-3.5,46.25,2015,"BEL","21E6","COE",0.01
-3.5,46.25,2015,"BEL","21E6","CTC",0.008
-3.5,46.25,2015,"BEL","21E6","DAB",0.006
-3.5,46.25,2015,"BEL","21E6","GUR",0.002
-3.5,46.25,2015,"BEL","21E6","GUU",0.015
-3.5,46.25,2015,"BEL","21E6","HKE",0.003
-3.5,46.25,2015,"BEL","21E6","LEM",0.003
-3.5,46.25,2015,"BEL","21E6","LEZ",0.186
-3.5,46.25,2015,"BEL","21E6","LIN",0.002
-3.5,46.25,2015,"BEL","21E6","MUR",0
-3.5,46.25,2015,"BEL","21E6","OCZ",0.001
-3.5,46.25,2015,"BEL","21E6","POL",0.001
-3.5,46.25,2015,"BEL","21E6","RJI",0.874
-3.5,46.25,2015,"BEL","21E6","RJN",0.203
-3.5,46.25,2015,"BEL","21E6","SCE",0
-3.5,46.25,2015,"BEL","21E6","SOS",0.028
-3.5,46.25,2015,"BEL","21E6","SQC",0
-3.5,46.25,2015,"BEL","21E6","SYT",0.006
-3.5,46.25,2015,"BEL","21E6","WEG",0.001
-3.5,46.25,2015,"BEL","21E6","WHG",0.001
-3.5,46.25,2015,"BEL","21E6","CRU",0.002
-3.5,46.25,2015,"BEL","21E6","DPX",0.005
-3.5,46.25,2015,"BEL","21E6","SCL",0.133
-2.5,46.25,2015,"BEL","21E7","ANF",5.186
-2.5,46.25,2015,"BEL","21E7","BIB",0.119
