"","Year","IcesDivision","species","LiveWtTonnes","LiveWtTonnesInclU10","MeanPricePerKgLiveWt","YearFact"
"3860",2015,"VIIa","Demersal shark",58.363,70.553,0.847080856021795,"2015"
"3861",2009,"VIIj","Nephrops",210.0958,222.7288,4.76292702662309,"2009"
"3862",2016,"VIIg","Monkfish",1608.550085,1621.20621897971,3.03403782698199,"2016"
"3863",2011,"VIIj","Spiny Lobsters",6.17585,18.88585,35.53935458277,"2011"
"3864",2011,"VIIj","Scallop",6.333,19.083,3.15821885362387,"2011"
"3865",2010,"VIIb","Nephrops",938.98155,951.98155,3.40392204777612,"2010"
"3866",2014,"VIIb","Nephrops",827.69545,840.69545,6.52010557687613,"2014"
"3867",2015,"VIIj","Haddock",326.533146000001,339.729001,1.68822423425418,"2015"
"3868",2011,"VIIa","Skates and rays",502.778868,516.264328,1.98846626413749,"2011"
"3869",2017,"VIIa","Skates and rays",166.71188,180.22728,2.00765070267708,"2017"
"3870",2012,"VIIj","Skates and rays",121.080977,134.622475,1.36176425439122,"2012"
"3871",2013,"VIIa","Mackerel",16.095,29.67137,2.04549238894066,"2013"
"3872",2009,"VIIj","Spiny Lobsters",5.01615,18.93915,30.5800388744356,"2009"
"3873",2014,"VIIg","Shrimp",7.754,21.836,17.4712136412384,"2014"
"3874",2009,"VIIa","Skates and rays",370.690916,384.786466,1.33507158298816,"2009"
"3875",2014,"VIIg","Hake",1007.924089,1022.051059,2.0602871460888,"2014"
"3876",2014,"VIa","Haddock",652.254445,666.493355,1.67967481770094,"2014"
"3877",2016,"VIIa","Whiting",49.347395,64.392675,1.23238661736856,"2016"
"3878",2014,"VIIg","Nephrops",3490.49172,3505.55572,5.41653630056455,"2014"
"3879",2013,"VIIg","Skates and rays",208.716209,223.924879,1.51053209217055,"2013"
"3880",2012,"VIIg","Nephrops",3470.41891,3485.95529,4.90758983188431,"2012"
"3881",2015,"VIIg","Pandalus",0.8285,16.404,4.03528666264333,"2015"
"3882",2008,"VIIj","Nephrops",258.16409,273.80809,5.98138930810259,"2008"
"3883",2017,"VIa","Mackerel",46063.47437,46079.1863700309,0.689461118517001,"2017"
